,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6,target
age,1.0,0.1737371005636606,0.18508466614655555,0.33542758706707276,0.2600608201502612,0.21924313984750804,-0.07518097487514622,0.20384089972875527,0.2707742414181664,0.30173100763283783,0.1878887507189197
sex,0.1737371005636606,1.0,0.08816139902276221,0.2410104866490488,0.03527681917552952,0.14263725703350016,-0.3790896292273317,0.33211509308296433,0.14991613649583793,0.20813321620038897,0.043061998451605396
bmi,0.18508466614655555,0.08816139902276221,1.0,0.3954108987177125,0.2497774217424124,0.2611699111644256,-0.3668109784050295,0.4138066018314403,0.446156538573252,0.3886799939000389,0.5864501344746885
bp,0.33542758706707276,0.2410104866490488,0.3954108987177125,1.0,0.24246402270704165,0.18554846261290042,-0.17876163122564295,0.257650053283515,0.39348010904483205,0.3904300231160371,0.44148175856257105
s1,0.2600608201502612,0.03527681917552952,0.2497774217424124,0.24246402270704165,1.0,0.8966629578104894,0.051519364314820446,0.5422072805232409,0.5155029243689457,0.3257167530607091,0.21202248101455062
s2,0.21924313984750804,0.14263725703350016,0.2611699111644256,0.18554846261290042,0.8966629578104894,1.0,-0.19645512374417917,0.6598168886666438,0.3183566651415616,0.29060037549704454,0.1740535869687425
s3,-0.07518097487514622,-0.3790896292273317,-0.3668109784050295,-0.17876163122564295,0.051519364314820446,-0.19645512374417917,1.0,-0.7384927292583823,-0.3985772934287096,-0.2736973014758417,-0.39478925067091836
s4,0.20384089972875527,0.33211509308296433,0.4138066018314403,0.257650053283515,0.5422072805232409,0.6598168886666438,-0.7384927292583823,1.0,0.6178589739937282,0.4172121137122003,0.43045288474477283
s5,0.2707742414181664,0.14991613649583793,0.446156538573252,0.39348010904483205,0.5155029243689457,0.3183566651415616,-0.3985772934287096,0.6178589739937282,1.0,0.46466884669136815,0.5658825924427435
s6,0.30173100763283783,0.20813321620038897,0.3886799939000389,0.3904300231160371,0.3257167530607091,0.29060037549704454,-0.2736973014758417,0.4172121137122003,0.46466884669136815,1.0,0.3824834842485807
target,0.1878887507189197,0.043061998451605396,0.5864501344746885,0.44148175856257105,0.21202248101455062,0.1740535869687425,-0.39478925067091836,0.43045288474477283,0.5658825924427435,0.3824834842485807,1.0
