,count,mean,std,min,25%,50%,75%,max
age,442.0,-2.511816797794472e-19,0.047619047619047644,-0.1072256316073538,-0.03729926642522996,0.005383060374248237,0.038075906433423026,0.11072667545381144
sex,442.0,1.2307902309192911e-17,0.047619047619047665,-0.044641636506989144,-0.044641636506989144,-0.044641636506989144,0.05068011873981862,0.05068011873981862
bmi,442.0,-2.2455642172282577e-16,0.047619047619047616,-0.09027529589850945,-0.03422906805670789,-0.007283766209687899,0.031248015431550695,0.17055522598064407
bp,442.0,-4.7975700837874414e-17,0.047619047619047596,-0.11239880254408448,-0.03665608107540074,-0.00567042229275739,0.03564378941743375,0.13204361674121307
s1,442.0,-1.3814992387869595e-17,0.04761904761904759,-0.12678066991651324,-0.03424784020248786,-0.004320865536613489,0.028358014845663134,0.15391371315651542
s2,442.0,3.918434204559376e-17,0.047619047619047644,-0.11561306597939897,-0.03035839725719808,-0.0038190651205350003,0.02984439452183999,0.19878798965729408
s3,442.0,-5.7771786349272854e-18,0.047619047619047596,-0.10230705051741597,-0.035117160592829294,-0.006584467611155497,0.02931150097869218,0.18117906039727852
s4,442.0,-9.042540472060099e-18,0.047619047619047616,-0.0763945037500033,-0.03949338287409329,-0.002592261998183278,0.03430885887772673,0.18523444326019867
s5,442.0,9.268603983861601e-17,0.047619047619047616,-0.12609712083330468,-0.03324559264822791,-0.0019471710869220743,0.03243232415655107,0.13359728192191356
s6,442.0,1.1303175590075123e-17,0.047619047619047644,-0.13776722569000302,-0.033179026090433,-0.0010776975004659671,0.027917050903375224,0.13561183068907107
target,442.0,152.13348416289594,77.09300453299109,25.0,87.0,140.5,211.5,346.0
